iter	MultiClass
0	0.8049787507
1	0.6369279999
2	0.522856737
3	0.4369650788
4	0.3750565625
5	0.3254831619
6	0.284300832
7	0.2541609329
8	0.2292411896
9	0.2062098596
10	0.1887910734
11	0.1757495191
12	0.1606107891
13	0.1496579444
14	0.1400945214
15	0.1325615431
16	0.1259605217
17	0.1195245958
18	0.1144583536
19	0.1095923672
20	0.1046699468
21	0.1009979262
22	0.09781160209
23	0.09554501841
24	0.0925228809
25	0.0897762643
26	0.08727444693
27	0.08521874316
28	0.08246886515
29	0.08097532088
30	0.07952669631
31	0.07799520424
32	0.07648432622
33	0.07578982153
34	0.07448997088
35	0.07320212788
36	0.07239912571
37	0.07195192614
38	0.07088167914
39	0.07035032625
40	0.06991311145
41	0.06863836712
42	0.06760241918
43	0.06639466565
44	0.06551507473
45	0.06477489433
46	0.06407541571
47	0.06372860465
48	0.06286887096
49	0.06257101329
50	0.06218170734
51	0.06163303155
52	0.06093337135
53	0.06044803451
54	0.05972794572
55	0.05943255056
56	0.05860321576
57	0.05802564298
58	0.05749733745
59	0.0572256622
60	0.05685810926
61	0.05656092256
62	0.05637255848
63	0.05609027671
64	0.05578954784
65	0.05527866251
66	0.05485502008
67	0.05438716502
68	0.05389714664
69	0.05377852777
70	0.05323448385
71	0.05285882926
72	0.05236143996
73	0.05200198851
74	0.05167127533
75	0.0515188193
76	0.05134493029
77	0.05086916577
78	0.0506610377
79	0.05026978498
80	0.05004939301
81	0.04993188475
82	0.04979756561
83	0.04956420702
84	0.04932572356
85	0.04897615267
86	0.04869456798
87	0.0483738184
88	0.04826323814
89	0.04807140769
90	0.047752721
91	0.04758942997
92	0.04730222861
93	0.04706224538
94	0.04682024547
95	0.04667992795
96	0.04643268375
97	0.04626495847
98	0.04607793513
99	0.04591101671
100	0.04574530924
101	0.0454636949
102	0.04540140283
103	0.04527623898
104	0.04519999846
105	0.04504126536
106	0.04470738847
107	0.04462044329
108	0.04443663424
109	0.04437179656
110	0.04428825248
111	0.04396413996
112	0.04360334521
113	0.04340245746
114	0.04322529054
115	0.04317732138
116	0.04310539794
117	0.04287951501
118	0.04265230423
119	0.042618474
120	0.04257547155
121	0.04244444799
122	0.04236308456
123	0.04221929224
124	0.04207679918
125	0.04199958673
126	0.04183364154
127	0.04179694393
128	0.04162297077
129	0.04147204991
130	0.04140521833
131	0.0412995159
132	0.04124462855
133	0.04116841606
134	0.04111464296
135	0.04104434133
136	0.04096062878
137	0.04089577277
138	0.04084632986
139	0.04066312323
140	0.04056802081
141	0.04047045349
142	0.0403961813
143	0.04026887412
144	0.04014493411
145	0.04005896028
146	0.03992216853
147	0.03989366036
148	0.03981360159
149	0.03974826205
150	0.03957887496
151	0.03933890887
152	0.03925257503
153	0.03917572588
154	0.03912499846
155	0.03908145608
156	0.03902280831
157	0.03886640554
158	0.03881253781
159	0.03875240736
160	0.03865960591
161	0.03859341559
162	0.03850200856
163	0.0384835451
164	0.03831932516
165	0.03827390801
166	0.03822605123
167	0.03816599995
168	0.03804666162
169	0.03795654894
170	0.0379217818
171	0.03784064544
172	0.03774917718
173	0.03765603358
174	0.03756093785
175	0.03753294299
176	0.03750634585
177	0.03743135831
178	0.03736889885
179	0.03732659787
180	0.03730768763
181	0.03726731094
182	0.03716625468
183	0.03711959592
184	0.03703614743
185	0.03702000646
186	0.03694372375
187	0.03692275216
188	0.03685006435
189	0.03682511703
190	0.03678173717
191	0.03673523948
192	0.03668408537
193	0.0366352304
194	0.03656448819
195	0.03653010731
196	0.03641291802
197	0.03635864319
198	0.03632287955
199	0.03630689398
